取引先コード,取引先名,取引先名かな,取引先略称名,インボイス発行事業者区分,インボイス登録番号,郵便番号,住所1,住所2,住所3,国名,取引通貨,国内・国外取引,タグ,フラグ,得意先有無,仕入先有無,請求先コード,請求先は宛名の置換のみ,得意先部署,得意先担当者役職,得意先担当者,得意先敬称,得意先電話番号,得意先FAX番号,得意先メールアドレス,得意先担当者コード,得意先担当社員名,得意先取引形態区分,得意先締日１,得意先締日２,得意先締日３,入金予定日１,入金予定日２,入金予定日３,得意先単価ランク,得意先掛率,得意先別単価の使用,得意先金額丸め区分,得意先内税外税区分,得意先消費税計上区分,得意先消費税丸め区分,与信限度額,前回請求額,前回売掛残,前回請求額（円転）,前回売掛残（円転）,売上伝票採番区分,請求書発行区分,請求書入金明細印字区分,見積書発行元ｺｰﾄﾞ,注文請書発行元ｺｰﾄﾞ,納品書発行元ｺｰﾄﾞ,請求書発行元ｺｰﾄﾞ,インボイス発行元ｺｰﾄﾞ,統一伝票用社名,統一伝票用店名,統一伝票用社店コード,統一伝票用分類コード,統一伝票用伝票区分,統一伝票用取引先ｺｰﾄﾞ,統一伝票用L欄,得意先メモ,支払先コード,支払先は宛名の置換のみ,仕入先部署,仕入先担当者役職,仕入先担当者,仕入先敬称,仕入先電話番号,仕入先FAX番号,仕入先メールアドレス,仕入先担当者コード,仕入先担当社員名,仕入先取引形態区分,仕入先締日１,仕入先締日２,仕入先締日３,支払予定日１,支払予定日２,支払予定日３,仕入先単価ランク,仕入先掛率,仕入先別単価の使用,仕入先金額丸め区分,仕入先内税外税区分,仕入先消費税計上区分,仕入先消費税丸め区分,前回支払予定額,前回買掛残,前回支払予定額（円転）,前回買掛残（円転）,仕入伝票採番区分,支払書発行区分,支払書支払明細印字区分,注文書発行元ｺｰﾄﾞ,支払書発行元ｺｰﾄﾞ,PO発行元ｺｰﾄﾞ,仕入先メモ,登録日時,最終更新日時,部門
00119,ドンキホーテ　柏店,どんきほおて　かしわてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00119,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:07:47,2015/05/17 17:07:47,輸出事業
00120,スマイルドラッグ　新松戸店,すまいる　しんまつどてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00120,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:08:31,2015/05/17 17:36:59,輸出事業
00121,マツモトキヨシ　新松戸南店,まつもときよし　しんまつどみなみてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00121,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:09:06,2015/05/17 17:09:06,輸出事業
00122,くすりの福太郎　馬橋店,くすりのふくたろう　まばしてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00122,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:09:43,2015/05/17 17:09:43,輸出事業
00123,ヤックスドラッグ　野田店,やっくすどらっぐ　のだてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00123,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:10:26,2015/05/17 17:10:26,輸出事業
00124,ドンキホーテ　大宮店,どんきほおて　おおみやてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00124,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:12:24,2015/05/17 17:12:24,輸出事業
00125,ドンキホーテ　与野店,どんきほおて　よのてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00125,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:12:58,2015/05/17 17:12:58,輸出事業
00126,イオン　ノア店,いおん　のあてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00126,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:14:29,2015/05/17 17:15:56,輸出事業
00127,カインズホーム　野田さくらの里店,かいんずほおむ　のださくらのさとてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00127,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/05/17 17:17:51,2015/05/17 17:17:51,輸出事業
00128,株式会社HK,HK,,,,,,,,,JPY,国内,,,有,有,00128,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00128,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/06/02 19:58:23,2017/02/22 20:36:31,輸出事業
00129,厳さん,,,,,,,,,,JPY,国内,,,有,無,00129,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/06/21 22:59:42,2015/10/07 21:35:43,輸出事業
00130,井藤漢方製薬株式会社,いふじかんぽうせいやく,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00130,Y,,,,御中,,,,00002,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/06/25 20:17:45,2015/06/25 20:17:45,輸出事業
00131,YSL株式会社,YSL,,,,1340083,東京都江戸川区中葛西2-1-1,,,日本,JPY,国内,,,有,無,00131,Y,,,,御中,,,,00003,,都度請求,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,9999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/07/01 17:57:22,2018/02/26 14:46:12,輸出事業
00132,株式会社bolome,bolome,,,,,,,,,JPY,国内,,,有,無,00132,Y,,,,御中,,,,00008,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/07/07 18:29:25,2020/02/13 09:43:48,輸出事業
00133,マスターピース株式会社,ますたあぴいす,,,,,,,,,JPY,国内,,,有,無,00133,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/07/07 18:30:21,2015/07/07 18:30:21,輸出事業
00134,順豊エクスプレス,じゅんゆたかえくすぷれす,,,,,,,,,JPY,国内,,,有,無,00134,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/07/18 14:23:57,2015/07/18 14:23:57,輸出事業
00135,Fujisaki Business,Fujisaki Business,,,,,,,,,JPY,国外,,,有,無,00135,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/07/19 07:22:43,2015/10/25 23:09:20,輸出事業
00136,株式会社アルテミス,あるてみす,,,,,,,,,JPY,国内,,,有,無,00136,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/07/19 07:31:50,2015/07/19 07:31:50,輸出事業
00137,大河実業株式会社,たいがじつぎょう,,,,,,,,,JPY,国内,,,有,無,00137,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/07/19 07:34:45,2016/01/25 15:38:20,輸出事業
00138,ツルハドラッグ　足立西新井店,つるはどらっぐ　あだちにしあらいてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00138,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/07/19 08:04:24,2015/07/19 08:04:24,輸出事業
00139,セイジョー　いわい白山店,せいじょお　いわいはくさんてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00139,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/07/19 08:37:09,2015/07/19 08:37:09,輸出事業
00140,ツルハドラッグ　大井町店,つるはどらっぐ　おおいまちてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00140,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/07/19 08:42:54,2015/07/19 08:42:54,輸出事業
00141,ツルハドラッグ　西小山店,つるはどらっぐ,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00141,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/07/19 08:45:15,2015/07/19 08:45:15,輸出事業
00142,ココカラファイン　三田店,ここからふぁいん　みたてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00142,Y,,,,御中,,,,00004,,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/08/08 19:23:52,2016/04/08 21:34:10,輸出事業
00143,ドンキホーテ　千葉ニュータウン店,どんきほおて　ちばにゅうたうんてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00143,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/08/12 17:04:32,2015/08/12 17:04:32,輸出事業
00144,ピカソ　久喜店,ぴかそ　くきてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00144,Y,,,,御中,,,,00004,,都度支払,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/08/12 17:42:40,2015/08/12 17:42:40,輸出事業
00145,雲総,くもそう,,,,,,,,,JPY,国内,,,有,無,00145,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/08/13 00:45:31,2015/10/07 21:45:30,輸出事業
00146,ヒューマンプランニング株式会社,ひゅうまんぷらんにんぐ,,,,,,,,,JPY,国内,,,有,無,00146,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/08/13 01:00:49,2015/08/13 01:00:49,輸出事業
00147,天和株式会社,てんわ,,,,,,,,,JPY,国内,,,有,無,00147,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/08/19 23:14:20,2015/08/19 23:14:20,輸出事業
00148,東京ユコン株式会社,とうきょうゆこん,,,,,,,,,JPY,国内,,,有,無,00148,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/08/21 12:46:02,2015/08/25 23:02:26,輸出事業
00149,ena株式会社,ena,,,,,,,,,JPY,国内,,,有,無,00149,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/06 20:52:22,2015/10/06 20:52:22,輸出事業
00150,NHN SAVAWAY株式会社,サバウェイ,,,,1056322,東京都港区虎ノ門1-23-1,虎ノ門ヒルズ森タワ－ 22階,,,JPY,国内,,,有,無,00150,Y,,,,御中,,,,00005,泉　秀之,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/06 21:31:37,2018/02/26 14:47:15,輸出事業
00151,株式会社フォレストリ,ふぉれすとり,,,,,,,,,JPY,国内,,,有,無,00151,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/06 21:32:13,2015/10/06 21:32:13,輸出事業
00152,エイホーグローバル株式会社,えいほおぐろおばる,,,,,,,,,JPY,国内,,,有,無,00152,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/06 21:32:42,2015/10/06 21:32:42,輸出事業
00153,株式会社ｵｰﾙｱﾊﾞｳﾄﾗｲﾌﾏｰｹﾃｨﾝｸﾞ,おおるあばうとらいふまあけてぃんぐ,,,,,,,,,JPY,国内,,,有,無,00153,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/25 16:12:27,2015/10/25 16:12:27,輸出事業
00154,ATB株式会社,えーてぃーびーかぶしきがいしゃ,,,,,,,,日本,JPY,国内,,,有,有,00154,Y,,,,様,,,,00099,劉　華芸,掛売上,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00154,N,,,,,,,,,,,,,,,,,1,100,不使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2025/07/03 11:09:59,2025/07/03 11:09:59,輸出事業
00155,上海長發豊源薬粧（集團）股份有限公司,ちょうはつ,長発,,,,,,,,JPY,国外,,,有,無,00155,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/25 16:51:22,2015/10/25 16:51:22,輸出事業
00156,Wanna合同会社,わなごうどうがいしゃ,,,,1210815,東京都足立区島根3-7-7  1F,,,,001,国内,,,有,無,00156,N,,,,,03-5856-5458,,,00099,劉　華芸,都度請求,,,,,,,1,100,使用,基本設定参照,外税,一括,基本設定参照,0,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/07/08 15:10:04,2025/07/14 17:52:39,輸出事業
00157,ポリスター株式会社,ぽりすたあ,,,,,,,,,JPY,国内,,,有,無,00157,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/25 17:09:53,2015/10/25 17:09:53,輸出事業
00158,株式会社フラット,ふらっと,,,,,,,,,JPY,国内,,,有,無,00158,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/10/28 13:00:49,2015/10/28 13:00:49,輸出事業
00159,TOPWIN,TOPWIN,,,,,,,,,JPY,国内,,,有,無,00159,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/11/09 23:04:53,2015/11/10 10:40:33,輸出事業
00160,健康プラザパル,けんこうぷらざぱる,,,,,,,,,JPY,国内,,,有,無,00160,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/11/12 15:12:12,2015/11/12 15:12:12,輸出事業
00161,楽粋株式会社,らくすい,,,,,,,,,JPY,国内,,,有,無,00161,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/11/17 17:25:45,2015/11/17 17:25:45,輸出事業
00162,良運環球,りょううんかんきゅう,,,,,,,,,JPY,国外,,,有,無,00162,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,99999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/12/04 14:20:53,2015/12/04 14:20:53,輸出事業
00163,株式会社コージー本舗,こおじいほんぽ,,,,,,,,,JPY,国内,,,有,有,00163,Y,,,,御中,,,,00005,泉　秀之,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,100000000,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00163,Y,,,,御中,,,,00001,,掛仕入,毎月末日,,,翌月末日,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/12/14 17:39:45,2017/11/04 15:27:48,輸出事業
00164,国分株式会社,こくぶ,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00164,Y,,,,御中,,,,00001,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2015/12/17 10:45:30,2015/12/17 10:45:30,輸出事業
00165,マツモトキヨシ　水天宮駅前店,まつもときよし　すいてんみやえきまえてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00165,Y,,,,御中,,,,00001,,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2016/01/26 14:14:40,2016/03/20 16:48:04,輸出事業
00166,東悟コンサルティング株式会社,とうごこんさるてぃんぐ,,,,,,,,,JPY,国内,,,有,無,00166,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,9999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/01/26 14:25:05,2016/04/02 22:01:40,輸出事業
00167,楽天市場,らくてんしじょう,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00167,Y,,,,御中,,,,00001,,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2016/01/26 14:29:52,2016/01/26 14:29:52,輸出事業
00168,萌爸日本全職代購,もえばにっぽんぜんしょくだいこう,,,,,,,,,JPY,国内,,,有,無,00168,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,9999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/01/28 09:52:49,2016/01/28 09:52:49,輸出事業
00169,スギ薬局　日本橋三越前店,すぎやっきょく　にほんばしみつこしぜんみせ,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00169,Y,,,,御中,,,,00001,,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2016/02/10 13:06:51,2016/02/10 13:06:51,輸出事業
00170,三越伊勢丹　日本橋本店,みつこしいせたん　にほんばしほんてん,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00170,Y,,,,御中,,,,00001,,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2016/02/10 13:21:04,2016/02/10 13:21:04,輸出事業
00171,C&H株式会社,C&H,,,,,,,,,JPY,国内,,,有,無,00171,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,9999999999,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/02/17 09:01:39,2016/02/17 09:01:39,輸出事業
00172,船橋,ふなばし,,,,,,,,,JPY,国内,,,無,有,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00172,Y,,,,御中,,,,00001,,現金仕入,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2016/03/08 14:30:11,2016/03/20 16:51:17,輸出事業
00173,第一商事株式会社,だいいちしょうじ,,,,,,,,,JPY,国内,,,有,有,00173,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,100000000,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,00173,Y,,,,御中,,,,00005,泉　秀之,都度支払,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,2016/04/12 14:28:13,2016/11/14 22:05:11,輸出事業
00174,株式会社 D.E.P,D.E.P,,,,,,,,,JPY,国内,,,有,無,00174,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,1000000000,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/05/12 12:00:19,2016/05/12 12:00:19,輸出事業
00175,株式会社エックステンド,えっくすてんど,,,,,,,,,JPY,国内,,,有,無,00175,Y,,,,御中,,,,00001,,都度請求,,,,,,,1,100,使用,基本設定参照,外税,伝票,基本設定参照,10000000,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/08/17 13:16:24,2016/08/17 13:16:24,輸出事業
00176,株式会社 泉商事,いずみしょうじ,,,,,,,,,JPY,国内,,,有,無,00176,Y,,,,御中,,,,00001,,現金売上,,,,,,,1,100,使用,基本設定参照,内税,伝票,基本設定参照,10000000,0,0,0,0,共通自動採番,基本設定参照,印字する,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/08/29 19:39:49,2016/08/29 19:39:49,輸出事業
