Unique ID,出荷日,商品名,数量,元データ合計金額,売上高,原価単価,原価計算根拠,売上原価,物流業者(推測後),業者推測根拠,箱数,箱数計算ルール,箱単価,物流費
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"22,000",22000.0,3848.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"46,000",46000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"33,000",33000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"15,000",15000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,300.0,"2,400,000",2400000.0,3848.0,マスター参照,1154400.0,神戸物流,元データ,150,マンジャロルール (数量/2),248,37200
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,400.0,"5,600,000",5600000.0,7696.0,マスター参照,3078400.0,神戸物流,元データ,200,マンジャロルール (数量/2),248,49600
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,200.0,"3,600,000",3600000.0,11544.0,マスター参照,2308800.0,神戸物流,元データ,100,マンジャロルール (数量/2),248,24800
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 12.5mg 2支x1盒,24.0,"624,000",624000.0,19240.0,マスター参照,461760.0,神戸物流,元データ,12,マンジャロルール (数量/2),248,2976
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 7.5mg 1支,2.0,"32,000",32000.0,5772.0,マスター参照,11544.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,2.0,"24,000",24000.0,3848.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"16,500",16500.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"26,000",26000.0,3848.0,マスター参照,7696.0,不明,推測不能,0,,0,0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,4.0,"92,000",92000.0,7696.0,マスター参照,30784.0,不明,推測不能,0,,0,0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,2.0,"44,000",44000.0,11544.0,マスター参照,23088.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/5,Rybelsus 司美格鲁肽 索马鲁肽片剂 3mg 1錠,10.0,"2,350",2350.0,139.6,マスター参照,1396.0,EMS,元データ,10.0,通常ルール (数量),1308,13080.0
,2025/7/5,Rybelsus 司美格鲁肽 索马鲁肽片剂 7mg 1錠,80.0,"32,000",32000.0,325.7,マスター参照,26056.0,EMS,元データ,80.0,通常ルール (数量),1308,104640.0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 1支,2.0,"14,000",14000.0,1924.0,マスター参照,3848.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,2.0,"23,000",23000.0,3848.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,6.0,"78,000",78000.0,3848.0,マスター参照,23088.0,神戸物流,元データ,3,マンジャロルール (数量/2),248,744
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"43,200",43200.0,7696.0,マスター参照,15392.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 1支,1.0,"5,500",5500.0,1924.0,マスター参照,1924.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/5,Dayvigo莱博雷生2.5mg 100錠,1.0,"13,000",13000.0,5210.0,マスター参照,5210.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/5,Dayvigo莱博雷生5mg 100錠,1.0,"18,200",18200.0,8270.0,マスター参照,8270.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,1.0,"24,500",24500.0,11544.0,マスター参照,11544.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,5.0,"100,000",100000.0,7696.0,マスター参照,38480.0,EMS,元データ,3,マンジャロルール (数量/2),1308,3924
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,200.0,"1,720,000",1720000.0,3848.0,マスター参照,769600.0,神戸物流,元データ,100,マンジャロルール (数量/2),248,24800
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,100.0,"1,460,000",1460000.0,7696.0,マスター参照,769600.0,神戸物流,元データ,50,マンジャロルール (数量/2),248,12400
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,44.0,0,0.0,3848.0,マスター参照,169312.0,神戸物流,元データ,22,マンジャロルール (数量/2),248,5456
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"30,000",30000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"43,000",43000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Dayvigo莱博雷生5mg 100錠,3.0,"39,000",39000.0,8270.0,マスター参照,24810.0,神戸物流,元データ,3.0,通常ルール (数量),248,744.0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,1.0,"23,000",23000.0,11544.0,マスター参照,11544.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"13,000",13000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/5,Dayvigo莱博雷生2.5mg 100錠,1.0,"13,300",13300.0,5210.0,マスター参照,5210.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,3.0,"54,000",54000.0,7696.0,マスター参照,23088.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/5,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,3.0,"36,000",36000.0,3848.0,マスター参照,11544.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"22,000",22000.0,3848.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,4.0,"66,500",66500.0,7696.0,マスター参照,30784.0,SF CN,元データ,2,マンジャロルール (数量/2),406,812
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"14,000",14000.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 12.5mg 2支x1盒,1.0,"50,000",50000.0,19240.0,マスター参照,19240.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,3.0,"39,000",39000.0,3848.0,マスター参照,11544.0,神戸物流,元データ,2,マンジャロルール (数量/2),248,496
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 1支,1.0,"7,500",7500.0,1924.0,マスター参照,1924.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"51,600",51600.0,7696.0,マスター参照,15392.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"28,000",28000.0,3848.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"22,500",22500.0,7696.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/7,Rybelsus 司美格鲁肽 索马鲁肽片剂 3mg 1錠,30.0,"11,450",11450.0,139.6,マスター参照,4188.0,EMS,元データ,30.0,通常ルール (数量),1308,39240.0
,2025/7/7,Rybelsus 司美格鲁肽 索马鲁肽片剂 7mg 1錠,30.0,"15,000",15000.0,325.7,マスター参照,9771.0,EMS,元データ,30.0,通常ルール (数量),1308,39240.0
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"46,000",46000.0,7696.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,260.0,"3,640,000",3640000.0,7696.0,マスター参照,2000960.0,神戸物流,元データ,130,マンジャロルール (数量/2),248,32240
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 10mg 2支x1盒,30.0,"660,000",660000.0,15392.0,マスター参照,461760.0,神戸物流,元データ,15,マンジャロルール (数量/2),248,3720
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 12.5mg 2支x1盒,10.0,"260,000",260000.0,19240.0,マスター参照,192400.0,神戸物流,元データ,5,マンジャロルール (数量/2),248,1240
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,500",11500.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"18,500",18500.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"23,000",23000.0,3848.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"14,500",14500.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,4.0,"46,000",46000.0,3848.0,マスター参照,15392.0,神戸物流,元データ,2,マンジャロルール (数量/2),248,496
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,5.0,"55,000",55000.0,3848.0,マスター参照,19240.0,EMS,元データ,3,マンジャロルール (数量/2),1308,3924
,2025/7/8,Mohrus 久光膏药贴　7枚x1袋,10.0,"8,000",8000.0,200.2,マスター参照,2002.0,EMS,元データ,10.0,通常ルール (数量),1308,13080.0
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,2.0,"44,000",44000.0,11544.0,マスター参照,23088.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,帝人痛风10mg 100錠,2.0,"8,700",8700.0,1550.0,マスター参照,3100.0,要町SF,元データ,2.0,通常ルール (数量),1304,2608.0
,2025/7/7,Dayvigo莱博雷生2.5mg 100錠,1.0,"13,300",13300.0,5210.0,マスター参照,5210.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"34,000",34000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"14,000",14000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"36,000",36000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,4.0,"71,000",71000.0,7696.0,マスター参照,30784.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"22,000",22000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,1.0,"34,000",34000.0,11544.0,マスター参照,11544.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 10mg 2支x1盒,1.0,"40,000",40000.0,15392.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,2.0,"21,040",21040.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 7.5mg 1支,2.0,"24,888",24888.0,5772.0,マスター参照,11544.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 10mg 1支,4.0,"76,000",76000.0,7696.0,マスター参照,30784.0,神戸物流,元データ,2,マンジャロルール (数量/2),248,496
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 7.5mg 1支,2.0,0,0.0,5772.0,マスター参照,11544.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 10mg 1支,1.0,"12,000",12000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/12,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,8.0,"88,000",88000.0,3848.0,マスター参照,30784.0,神戸物流,元データ,4,マンジャロルール (数量/2),248,992
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,0,0.0,7696.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/8,Dayvigo莱博雷生10mg 100錠,2.0,"46,000",46000.0,12360.0,マスター参照,24720.0,EMS,元データ,2.0,通常ルール (数量),1308,2616.0
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"13,500",13500.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"45,000",45000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/9,帝人痛风10mg 100錠,3.0,"11,600",11600.0,1550.0,マスター参照,4650.0,ヤマト,物流方法から推測,3.0,通常ルール (数量),0,0.0
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,500",23500.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,2.0,"58,000",58000.0,11544.0,マスター参照,23088.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"13,300",13300.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"21,850",21850.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/12,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"30,000",30000.0,3848.0,マスター参照,7696.0,不明,推測不能,0,,0,0
,2025/7/12,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"48,000",48000.0,7696.0,マスター参照,15392.0,不明,推測不能,0,,0,0
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 10mg 2支x1盒,1.0,"35,625",35625.0,15392.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,2.0,"67,600",67600.0,11544.0,マスター参照,23088.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"22,000",22000.0,7696.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/7,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,1.0,"30,000",30000.0,11544.0,マスター参照,11544.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,000",23000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 10mg 2支x1盒,1.0,"40,000",40000.0,15392.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"22,000",22000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/12,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/12,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,神戸物流,元データ,1,マンジャロルール (数量/2),248,248
,2025/7/15,医美用 L-Cysteine 半胱胺酸片  500錠,1.0,"4,500",4500.0,2850.0,マスター参照,2850.0,ヤマト,物流方法から推測,1.0,通常ルール (数量),0,0.0
,2025/7/15,阳进堂美白处方药 口服传明酸片剂 500mg 100錠,6.0,"10,800",10800.0,1140.0,マスター参照,6840.0,ヤマト,物流方法から推測,6.0,通常ルール (数量),0,0.0
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"29,000",29000.0,7696.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"50,000",50000.0,7696.0,マスター参照,15392.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/8,Dayvigo莱博雷生5mg 100錠,2.0,"37,100",37100.0,8270.0,マスター参照,16540.0,EMS,元データ,2.0,通常ルール (数量),1308,2616.0
,2025/7/8,Dayvigo莱博雷生5mg 100錠,1.0,"19,300",19300.0,8270.0,マスター参照,8270.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/7/8,Dayvigo莱博雷生2.5mg 100錠,1.0,"13,300",13300.0,5210.0,マスター参照,5210.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/8,Dayvigo莱博雷生2.5mg 100錠,1.0,"13,300",13300.0,5210.0,マスター参照,5210.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/8,Quviviq/Daridorexant 达利雷生/达利多雷生50mg 100錠,2.0,"47,100",47100.0,9080.0,マスター参照,18160.0,要町SF,元データ,2.0,通常ルール (数量),1304,2608.0
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"17,000",17000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 12.5mg 2支x1盒,2.0,"61,000",61000.0,19240.0,マスター参照,38480.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,3.0,"53,000",53000.0,7696.0,マスター参照,23088.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,"11,000",11000.0,3848.0,マスター参照,3848.0,ヤマト,物流方法から推測,1,マンジャロルール (数量/2),0,0
,2025/7/8,Dayvigo莱博雷生5mg 100錠,1.0,"19,300",19300.0,8270.0,マスター参照,8270.0,要町SF,元データ,1.0,通常ルール (数量),1304,1304.0
,2025/7/8,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,3.0,"47,000",47000.0,3848.0,マスター参照,11544.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 10mg 2支x1盒,1.0,"28,000",28000.0,15392.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"32,000",32000.0,7696.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"23,600",23600.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,3.0,"58,000",58000.0,3848.0,マスター参照,11544.0,不明,推測不能,0,,0,0
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,4.0,"44,000",44000.0,3848.0,マスター参照,15392.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,4.0,"96,000",96000.0,11544.0,マスター参照,46176.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"30,000",30000.0,3848.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,2.0,"43,000",43000.0,7696.0,マスター参照,15392.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"31,000",31000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,6.0,"138,000",138000.0,7696.0,マスター参照,46176.0,EMS,元データ,3,マンジャロルール (数量/2),1308,3924
,2025/7/9,Rybelsus 司美格鲁肽 索马鲁肽片剂 14mg 100錠,1.0,"75,000",75000.0,48850.0,マスター参照,48850.0,EMS,元データ,1.0,通常ルール (数量),1308,1308.0
,2025/7/11,塩野義製薬 シナール配合錠 100錠 左旋维他命c Cinal vc美白淡斑维生素片 100錠,1.0,"1,400",1400.0,1000,固定単価(1000円),1000.0,不明,推測不能,0,,0,0
,2025/7/11,阳进堂美白处方药 口服传明酸片剂 500mg 100錠,2.0,"4,000",4000.0,1140.0,マスター参照,2280.0,不明,推測不能,0,,0,0
,2025/7/11,Mounjaro 替尔泊肽 替西帕肽 7.5mg 2支x1盒,1.0,"22,000",22000.0,11544.0,マスター参照,11544.0,不明,推測不能,0,,0,0
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,2.0,"25,000",25000.0,3848.0,マスター参照,7696.0,EMS,元データ,1,マンジャロルール (数量/2),1308,1308
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,3.0,"51,000",51000.0,7696.0,マスター参照,23088.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,3.0,0,0.0,3848.0,マスター参照,11544.0,要町SF,元データ,2,マンジャロルール (数量/2),1304,2608
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,3.0,0,0.0,7696.0,マスター参照,23088.0,要町SF,元データ,2,マンジャロルール (数量/2),1304,2608
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"16,500",16500.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 2支x1盒,1.0,"24,000",24000.0,7696.0,マスター参照,7696.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 2.5mg 2支x1盒,1.0,0,0.0,3848.0,マスター参照,3848.0,SF CN,元データ,1,マンジャロルール (数量/2),406,406
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 2.5mg 1支,3.0,0,0.0,1924.0,マスター参照,5772.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
,2025/7/9,Mounjaro 替尔泊肽 替西帕肽 5mg 1支,3.0,0,0.0,3848.0,マスター参照,11544.0,EMS,元データ,2,マンジャロルール (数量/2),1308,2616
