Revised Logistics Calculation Log
=================================
Line 2: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 376: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 377: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 378: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 379: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 380: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 381: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 382: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 383: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 384: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 385: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 386: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 387: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 388: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 389: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 390: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 391: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 392: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 393: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 394: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 395: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 396: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 397: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 398: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 399: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 400: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 401: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 402: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 403: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 404: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 405: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 406: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 407: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 408: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 409: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 410: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 411: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 412: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 413: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 414: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 415: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 416: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 417: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 418: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 419: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 420: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 421: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 422: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 423: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 424: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 425: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 426: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 427: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 428: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 429: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 430: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 431: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 432: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 433: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 434: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 435: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 436: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 437: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 438: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 439: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 440: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 441: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 442: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 443: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 444: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 445: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 446: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 447: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 448: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 449: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 450: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 451: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 452: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 453: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 454: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 455: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 456: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 457: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 458: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 459: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 460: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 461: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 462: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 463: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 464: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 465: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 466: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 467: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 468: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 469: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 470: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 471: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 472: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 473: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 474: Processed. Provider: 'JD', Cost: 1355, Reason: Provided in data
Line 475: Processed. Provider: 'JD', Cost: 1355, Reason: Provided in data
Line 476: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 477: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 478: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 479: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 480: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 481: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 482: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 483: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 484: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 485: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 486: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 487: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 488: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 489: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 490: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 491: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 492: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 493: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 494: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 495: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 496: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 497: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 498: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 499: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 500: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 501: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 502: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 503: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 504: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 505: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 506: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 507: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 508: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 509: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 510: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 511: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 512: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 513: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 514: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 515: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 516: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 517: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 518: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 519: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 520: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 521: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 522: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 523: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 524: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 525: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 526: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 527: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 528: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 529: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 530: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 531: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 532: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 533: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 534: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 535: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 536: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 537: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 538: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 539: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 540: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 541: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 542: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 543: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 544: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 545: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 546: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 547: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 548: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 549: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 550: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 551: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 552: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 553: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 554: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 555: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 556: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 557: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 558: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 559: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 560: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 561: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 562: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 563: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 564: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 565: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 566: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 567: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 568: Processed. Provider: 'JD', Cost: 1355, Reason: Provided in data
Line 569: Processed. Provider: 'JD', Cost: 1355, Reason: Provided in data
Line 570: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 571: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 572: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 573: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 574: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 575: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 576: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 577: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 578: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 579: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 580: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 581: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 582: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 583: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 584: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 585: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 586: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 587: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 588: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 589: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 590: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 591: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 592: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 593: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 594: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 595: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 596: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 597: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 598: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 599: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 600: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 601: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 602: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 603: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 604: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 605: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 606: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 607: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 608: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 609: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 610: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 611: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 612: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 613: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 614: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 615: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 616: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 617: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 618: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 619: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 620: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 621: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 622: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 623: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 624: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 625: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 626: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 627: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 628: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 629: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 630: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 631: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 632: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 633: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 634: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 635: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 636: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 637: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 638: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 639: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 640: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 641: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 642: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 643: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 644: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 645: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 646: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 647: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 648: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 649: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 650: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 651: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 652: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 653: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 654: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 655: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 656: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 657: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 658: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 659: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 660: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 661: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 662: Processed. Provider: '要町SF', Cost: 1304, Reason: Provided in data
Line 663: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 664: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 665: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 666: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 667: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 668: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 669: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 670: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 671: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 672: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 673: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 674: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 675: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 676: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 677: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 678: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 679: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 680: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 681: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 682: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 683: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 684: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 685: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 686: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 687: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 688: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 689: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 690: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 691: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 692: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 693: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 694: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 695: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 696: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 697: Processed. Provider: '神户物流', Cost: 248, Reason: Provided in data
Line 698: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 699: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 700: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 701: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 702: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 703: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 704: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 705: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 706: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 707: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 708: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 709: UNHANDLED. Provider: 'Unknown'. Cost not found.
Line 710: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 711: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 712: Processed. Provider: 'ヤマト', Cost: 0, Reason: Inferred from Logistics Method
Line 713: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 714: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 715: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 716: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 717: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 718: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 719: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 720: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 721: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 722: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 723: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 724: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 725: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 726: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 727: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 728: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 729: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 730: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 731: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 732: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 733: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 734: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 735: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 736: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 737: Processed. Provider: '神戸物流', Cost: 248, Reason: Provided in data
Line 738: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 739: Processed. Provider: '大阪神洲物流', Cost: 606, Reason: Provided in data
Line 740: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 741: Processed. Provider: 'EMS', Cost: 1308, Reason: Provided in data
Line 742: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 743: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 744: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 745: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 746: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 747: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 748: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 749: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
Line 750: Processed. Provider: 'SF CN', Cost: 406, Reason: Provided in data
